event,username,day,month,year,hour,minute,second
online,fabimontans,15,4,2024,2,23,15
online,Altoemilius,15,4,2024,2,32,34
online,Altoemilius,15,4,2024,2,32,34
connected,fabimontans,15,4,2024,2,36,19
connected,Altoemilius,15,4,2024,2,38,40
online,Saborcito,15,4,2024,2,41,53
connected,Saborcito,15,4,2024,2,41,58
online,DiegoPlusUltra,15,4,2024,3,29,15
connected,DiegoPlusUltra,15,4,2024,3,29,24
disconnected,fabimontans,15,4,2024,4,39,41
disconnected,DiegoPlusUltra,15,4,2024,4,39,42
disconnected,Saborcito,15,4,2024,4,39,42
disconnected,Altoemilius,15,4,2024,4,39,42
offline,Altoemilius,15,4,2024,4,39,44
offline,Altoemilius,15,4,2024,4,39,44
offline,DiegoPlusUltra,15,4,2024,4,39,45
offline,fabimontans,15,4,2024,4,41,25
offline,Saborcito,15,4,2024,4,41,35
online,Saborcito,15,4,2024,22,16,22
online,Saborcito,15,4,2024,23,15,12
offline,Saborcito,15,4,2024,23,15,18
online,Altoemilius,16,4,2024,1,36,38
online,Altoemilius,16,4,2024,1,36,38
online,Saborcito,16,4,2024,2,36,39
connected,Altoemilius,16,4,2024,2,40,42
connected,Saborcito,16,4,2024,2,41,28
online,DiegoPlusUltra,16,4,2024,2,41,48
online,fabimontans,16,4,2024,2,43,18
connected,fabimontans,16,4,2024,2,43,54
disconnected,fabimontans,16,4,2024,4,49,58
disconnected,Altoemilius,16,4,2024,4,49,58
disconnected,Saborcito,16,4,2024,4,49,59
offline,Altoemilius,16,4,2024,4,50,1
offline,Altoemilius,16,4,2024,4,50,1
offline,fabimontans,16,4,2024,4,51,32
offline,Saborcito,16,4,2024,4,52,4
online,Saborcito,16,4,2024,18,39,11
online,Saborcito,16,4,2024,19,54,19
offline,Saborcito,16,4,2024,19,57,33
online,Altoemilius,16,4,2024,22,35,52
online,Altoemilius,16,4,2024,22,35,52
offline,Altoemilius,16,4,2024,22,36,31
offline,Altoemilius,16,4,2024,22,36,31
online,Altoemilius,17,4,2024,1,33,36
